Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
1270,Hinsdale 21.8MW Bulk Storage Project,"Microgrid Networks, LLC",Kings,NY,Brownsville 27kV,ConEd,Energy Storage,21.8,21.8,21.8,2021-09-29,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1271,Atlantic Gateway,LS Power Grid NY Corporation I,"Nassau,Suffolk,Westchester",NY,"Barrett 138 kV, Ruland Road 138 kV, Millwood ? Buchanan 345 kV lines(W97/W98), Millwood ? Pleasant Valley 345 kV lines (W80/W81)","ConEd, LIPA",AC Transmission,0.0,,,2021-10-07,Withdrawn,,2023-06-30 00:00:00,,,,,,H; K,0.0,,
1272,EI Sunset BESS,Equinor Wind US LLC,Kings,NY,Greenwood South 138 kV,ConEd,Energy Storage,100.0,100,100,2021-10-08,Withdrawn,,2023-07-31 00:00:00,,,,,,J,0.0,,
1273,Downstate Clean Powerlink,"Anbaric Development Partners,LLC","Nassau, Suffolk, Bronx, Westchester",NY,"Mott Haven, Sprainbrook, Dunwoodie, Ruland Road, Newbridge, East Garden City, Syosset, Shore Road","ConEd, LIPA",AC Transmission,0.0,,,2021-10-08,Withdrawn,,2023-11-30 00:00:00,,,,,,"I,J,K",0.0,,
1274,Propel NY Energy ? Base Solution 2,NY Power Authority / NY Transco LLC.,"Nassau, Queens, Bronx, Westchester",NY,Sprain Brook 345 kV; Tremont 345 kV; Barrett138 kV; Shore Road 138 kV; Syosset 138 kV; Ruland Rd 138 kV,"ConEd, LIPA",AC Transmission,0.0,,,2021-10-08,Withdrawn,,2023-07-31 00:00:00,,,,,,I; J; K,0.0,,
1275,Propel NY Energy ? Base Solution 4,NY Power Authority / NY Transco LLC.,"Nassau, Suffolk, Queens, Bronx",NY,Tremont 345kV; Barrett138 kV; Shore Road 138 kV; Ruland Rd 138 kV,"ConEd, LIPA",AC Transmission,0.0,,,2021-10-08,Withdrawn,,2023-07-31 00:00:00,,,,,,J; K,0.0,,
1276,Propel NY Energy ? Base Solution 1,NY Power Authority / NY Transco LLC.,"Nassau, Queens, Bronx, and Westchester",NY,Sprain Brook 345 kV; Tremont 345 kV; East Garden City 345 kV; Barrett 138 kV; East Garden City 138 kV; Shore Road 138 kV; Ruland Rd 138 kV,"LIPA, ConEd, NYPA",AC Transmission,0.0,,,2021-10-08,Withdrawn,,2023-07-31 00:00:00,,,,,,I; J; K,0.0,,
1277,Propel NY Energy ? Base Solution 3,NY Power Authority / NY Transco LLC.,"Nassau, Queens, Bronx, Westchester",NY,Sprain Brook 345 kV; Tremont 345 kV; East Garden City 345 kV; Barrett 138 kV; East Garden City 138 kV; Shore Road 138 kV; Ruland Rd 138 kV,"LIPA, ConEd, NYPA",AC Transmission,0.0,,,2021-10-09,Withdrawn,,2023-07-31 00:00:00,,,,,,I; J; K,0.0,,
1278,NY Renewable Connect - Core 1,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City 345 kV, Sprain Brook 345 kV, Dunwoodie 345 kV, Jamaica 138 kV, Valley Stream 138 kV","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
1279,NY Renewable Connect - Core 2,"NextEra Energy Transmission NY, Inc","Nassau, Suffolk, Westchester",NY,"East Garden City, Ruland Road, Sprain Brook, Dunwoodie, Jamaica, Valley Stream, Farragut","ConEd, LIPA",AC Transmission,0.0,,,2021-10-10,Withdrawn,,2023-10-31 00:00:00,,,,,,"I,J,K",0.0,,
